N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,900",400,-0.49%,100,"4,889,252","5,969,783",54.49,"12,802,210",21.32,9.99,
2,SK하이닉스,"129,500",500,+0.39%,"5,000","942,763","728,002",49.84,"3,421,855",19.83,9.53,
3,LG화학,"919,000","19,000",-2.03%,"5,000","648,744","70,592",45.72,"171,986",140.33,2.93,
4,삼성전자우,"74,800",300,+0.40%,100,"615,519","822,887",77.11,"1,327,218",19.47,N/A,
5,NAVER,"361,000",500,-0.14%,100,"592,991","164,263",56.90,"444,578",59.21,15.22,
6,삼성바이오로직스,"804,000","21,000",+2.68%,"2,500","531,967","66,165",10.25,"192,315",220.76,N/A,
7,카카오,"114,500",500,-0.43%,100,"508,162","443,809",33.25,"2,033,899",322.54,2.70,
8,현대차,"224,000",500,+0.22%,"5,000","478,617","213,668",30.49,"598,369",43.55,2.04,
9,삼성SDI,"642,000",0,0.00%,"5,000","441,468","68,765",42.70,"242,448",78.62,4.54,
10,셀트리온,"266,500","14,000",+5.54%,"1,000","366,980","137,703",20.74,"1,286,288",71.70,16.68,
11,POSCO,"398,000","2,500",+0.63%,"5,000","347,004","87,187",55.03,"418,859",21.66,3.61,
12,기아,"80,700",500,+0.62%,"5,000","327,128","405,363",32.76,"1,113,734",21.99,5.05,
13,현대모비스,"277,500","3,000",+1.09%,"5,000","263,051","94,793",37.46,"305,012",17.26,4.66,
14,SK이노베이션,"283,500","2,000",+0.71%,"5,000","262,140","92,466",23.23,"950,315",-12.23,-13.58,
15,SK텔레콤,"312,000","2,500",+0.81%,500,"251,927","80,746",39.56,"195,883",16.75,6.44,
16,삼성물산,"134,500","1,500",+1.13%,100,"251,363","186,887",14.78,"364,346",24.60,3.81,
17,LG전자,"153,000","1,500",+0.99%,"5,000","250,381","163,648",30.91,"901,683",14.06,13.23,
18,LG생활건강,"1,571,000","10,000",-0.63%,"5,000","245,362","15,618",46.05,"22,748",34.90,17.92,
19,KB금융,"58,300",800,+1.39%,"5,000","242,416","415,808",69.41,"1,663,858",7.02,8.53,
20,LG,"126,500",0,0.00%,"5,000","218,285","172,557",34.67,0,15.18,7.50,
21,신한지주,"41,500",500,+1.22%,"5,000","214,389","516,600",60.76,"2,357,484",6.16,8.20,
22,SK,"282,500","2,000",+0.71%,200,"198,768","70,360",20.94,"135,743",105.81,1.11,
23,엔씨소프트,"830,000","24,000",+2.98%,500,"182,218","21,954",52.05,"95,606",31.02,20.83,
24,삼성생명,"86,400",0,0.00%,500,"172,800","200,000",13.24,"428,211",13.65,3.53,
25,아모레퍼시픽,"277,000",500,+0.18%,500,"161,930","58,458",33.89,"115,560",544.20,0.78,
26,한국전력,"24,300",700,+2.97%,"5,000","155,997","641,964",16.45,"4,225,027",7.83,2.91,
27,HMM,"42,600","2,700",+6.77%,"5,000","147,137","345,392",12.35,"20,477,709",110.94,8.93,
28,삼성에스디에스,"183,000","3,000",+1.67%,500,"141,601","77,378",11.57,"117,932",31.93,6.71,
29,하나금융지주,"46,300",50,-0.11%,"5,000","139,012","300,242",69.26,"1,115,999",5.27,8.96,
30,삼성전기,"182,000","5,000",+2.82%,"5,000","135,943","74,694",34.28,"478,057",23.38,10.92,
31,SK바이오사이언스,"160,500",500,+0.31%,500,"122,782","76,500",2.86,"575,780",298.88,13.25,
32,포스코케미칼,"150,000",500,+0.33%,500,"116,195","77,463",7.66,"168,613",325.38,2.96,
33,KT&G,"83,900",700,+0.84%,"5,000","115,188","137,292",40.14,"622,602",9.83,13.22,
34,넷마블,"130,500","3,500",+2.76%,100,"112,169","85,954",23.85,"245,763",35.78,6.35,
35,한국조선해양,"154,500","1,500",+0.98%,"5,000","109,344","70,773",18.15,"449,247",-13.11,-7.42,
36,S-Oil,"94,400","1,100",-1.15%,"2,500","106,278","112,583",76.59,"606,740",-13.83,-13.07,
37,롯데케미칼,"309,000","5,000",+1.64%,"5,000","105,911","34,275",26.01,"301,149",66.84,1.22,
38,삼성화재,"208,000","4,000",+1.96%,500,"98,540","47,375",47.28,"135,126",13.93,4.96,
39,대한항공,"27,900",300,+1.09%,"5,000","97,042","347,821",10.76,"4,817,668",-23.54,-7.22,
40,하이브,"252,500","1,500",+0.60%,500,"89,950","35,624",8.69,"193,275",N/A,12.52,
41,한화솔루션,"46,800",700,+1.52%,"5,000","89,518","191,278",17.45,"1,026,282",25.39,5.30,
42,LG디스플레이,"24,700",550,+2.28%,"5,000","88,380","357,816",23.05,"4,729,038",-98.80,-0.79,
43,한온시스템,"16,450",0,0.00%,100,"87,810","533,800",19.33,"795,655",79.47,5.09,
44,고려아연,"455,500","8,500",-1.83%,"5,000","85,953","18,870",21.84,"79,743",15.00,8.37,
45,금호석유,"281,000","15,000",-5.07%,"5,000","85,614","30,468",26.04,"1,109,911",16.14,20.18,
46,SK바이오팜,"108,000","2,000",+1.89%,500,"84,578","78,313",7.48,"172,807",-31.38,-135.18,
47,우리금융지주,"11,000",50,+0.46%,"5,000","79,449","722,268",27.07,"2,210,071",6.08,5.87,
48,현대제철,"59,500","1,100",+1.88%,"5,000","79,400","133,446",20.37,"1,691,647",-18.47,-2.59,
49,KT,"29,350",50,+0.17%,"5,000","76,636","261,112",43.35,"706,504",11.65,4.76,
50,기업은행,"10,200",50,+0.49%,"5,000","75,344","738,664",13.12,"3,243,970",5.09,6.44,
51,현대글로비스,"198,500",500,-0.25%,500,"74,438","37,500",33.90,"160,753",12.28,12.45,
52,미래에셋증권,"10,200",100,+0.99%,"5,000","64,802","635,316",14.96,"2,066,508",9.99,8.94,
53,CJ제일제당,"427,000","19,500",+4.79%,"5,000","64,281","15,054",24.72,"198,994",10.20,13.50,
54,한국금융지주,"112,000","3,000",+2.75%,"5,000","62,413","55,726",32.99,"340,498",7.99,16.27,
55,LG유플러스,"14,050",50,+0.36%,"5,000","61,344","436,611",31.57,"1,828,443",13.14,6.46,
56,한국타이어앤테크놀로지,"49,500",700,-1.39%,500,"61,318","123,875",41.84,"220,172",16.47,5.12,
57,아모레G,"74,000",100,+0.14%,500,"61,019","82,458",19.14,"151,854",685.19,0.31,
58,현대건설,"53,600","1,300",+2.49%,"5,000","59,687","111,356",21.19,"1,064,888",48.82,1.84,
59,현대중공업지주,"75,500",800,-1.05%,"1,000","59,640","78,993",17.32,"637,534",-9.89,-8.12,
60,강원랜드,"25,550",250,+0.99%,500,"54,662","213,940",20.88,"695,734",-19.82,-7.92,
61,SKC,"142,500","4,500",+3.26%,"5,000","53,962","37,868",11.58,"252,544",144.08,2.21,
62,두산중공업,"12,650",150,+1.20%,"5,000","53,444","422,481",8.71,"2,495,894",-3.22,-37.20,
63,두산밥캣,"51,400",300,+0.59%,500,"51,528","100,249",24.62,"425,579",20.83,6.15,
64,코웨이,"69,400","1,600",+2.36%,500,"51,217","73,800",58.02,"384,307",12.65,31.51,
65,오리온,"120,500","1,500",+1.26%,500,"47,641","39,536",41.09,"142,569",17.80,15.50,
66,LG이노텍,"201,000","5,500",+2.81%,"5,000","47,571","23,667",29.65,"139,317",20.15,10.20,
67,한미사이언스,"70,100","3,300",+4.94%,500,"47,181","67,305",1.78,"264,873",208.63,3.47,
68,맥쿼리인프라,"12,150",50,+0.41%,0,"45,221","372,192",15.27,"829,612",N/A,N/A,
69,이마트,"161,500","1,000",+0.62%,"5,000","45,019","27,876",31.64,"180,330",12.44,4.05,
70,유한양행,"63,100",900,+1.45%,"1,000","44,153","69,973",18.59,"160,243",23.29,11.06,
71,녹십자,"373,000","7,500",+2.05%,"5,000","43,591","11,687",19.12,"229,951",53.79,7.48,
72,GS,"46,700",50,+0.11%,"5,000","43,391","92,915",18.46,"395,348",-18.22,-2.82,
73,KODEX 200,"42,905",275,+0.65%,0,"41,575","96,900",3.07,"3,214,542",N/A,N/A,
74,한미약품,"340,500","1,500",+0.44%,"2,500","41,127","12,078",13.21,"51,836",343.94,1.65,
75,현대차2우B,"111,000","3,500",+3.26%,"5,000","40,499","36,485",61.94,"168,534",21.58,N/A,
76,대우조선해양,"37,250",0,0.00%,"5,000","39,966","107,291",8.29,"1,281,259",46.16,2.27,
77,팬오션,"7,440",260,-3.38%,"1,000","39,772","534,570",11.38,"20,112,731",43.01,3.25,
78,삼성카드,"34,250",50,-0.15%,"5,000","39,682","115,859",11.57,"201,470",9.95,5.69,
79,GS건설,"45,650",700,+1.56%,"5,000","39,027","85,491",29.19,"663,758",11.74,7.68,
80,쌍용C&E,"7,730",180,+2.38%,100,"38,948","503,860",3.47,"1,416,334",28.21,7.92,
81,삼성증권,"43,500",200,+0.46%,"5,000","38,846","89,300",27.71,"479,129",7.65,9.89,
82,CJ대한통운,"168,500","1,500",-0.88%,"5,000","38,439","22,812",22.00,"78,412",31.24,3.89,
83,삼성중공업,"6,010",10,+0.17%,"5,000","37,863","630,000",15.80,"25,118,970",-2.55,-33.06,
84,롯데지주,"35,550",100,+0.28%,200,"37,295","104,909",11.04,"384,082",-18.97,-3.03,
85,NH투자증권,"13,200",0,0.00%,"5,000","37,146","281,409",16.77,"1,398,644",6.87,10.32,
86,현대미포조선,"92,900","1,400",+1.53%,"5,000","37,106","39,942",12.28,"638,095",-190.37,-0.84,
87,호텔신라,"92,900",400,+0.43%,"5,000","36,462","39,248",19.93,"733,728",-13.11,-36.74,
88,DB손해보험,"50,500",500,+1.00%,500,"35,754","70,800",43.24,"199,719",6.40,9.08,
89,롯데쇼핑,"126,000","4,500",+3.70%,"5,000","35,644","28,289",12.12,"198,994",-4.54,-7.70,
90,삼성엔지니어링,"17,950",50,-0.28%,"5,000","35,182","196,000",27.77,"3,036,489",14.37,16.75,
91,키움증권,"133,500","2,000",+1.52%,"5,000","34,781","26,053",23.37,"87,503",4.82,27.63,
92,신풍제약,"64,300","1,300",+2.06%,500,"34,069","52,985",11.91,"1,776,291",706.59,1.72,
93,한진칼,"51,300",100,+0.20%,"2,500","33,993","66,263",15.34,"82,536",-11.46,-19.55,
94,LG화학우,"435,000","3,000",-0.68%,"5,000","33,446","7,689",65.62,"13,099",66.42,N/A,
95,메리츠증권,"4,905",10,+0.20%,"1,000","33,156","675,962",14.00,"1,626,387",6.35,13.08,
96,효성티앤씨,"764,000","1,000",+0.13%,"5,000","33,063","4,328",20.39,"84,168",24.17,25.10,
97,한국항공우주,"33,100",100,+0.30%,"5,000","32,264","97,475",13.55,"452,768",43.21,6.39,
98,한화생명,"3,690",100,+2.79%,"5,000","32,049","868,530",8.14,"11,368,477",13.62,1.90,
99,일진머티리얼즈,"68,700","1,000",+1.48%,500,"31,678","46,111",9.72,"139,187",74.11,7.23,
100,씨에스윈드,"74,900",0,0.00%,500,"31,586","42,171",10.50,"715,177",88.64,8.19,
101,신세계,"315,500","3,000",+0.96%,"5,000","31,062","9,845",27.62,"128,930",-30.01,-2.81,
102,대우건설,"7,460",160,+2.19%,"5,000","31,005","415,623",9.37,"4,557,812",10.92,11.06,
103,동서,"30,950",500,+1.64%,500,"30,857","99,700",3.74,"97,970",26.36,8.61,
104,에스원,"80,000",100,-0.12%,500,"30,399","37,999",55.75,"79,361",21.40,10.48,
105,한국가스공사,"32,900",200,+0.61%,"5,000","30,371","92,313",9.46,"279,449",-17.65,-2.24,
106,휠라홀딩스,"49,450","3,450",+7.50%,"1,000","30,042","60,752",44.30,"2,866,681",21.63,10.94,
107,SK케미칼,"255,500",500,-0.20%,"5,000","30,025","11,751",19.16,"59,690",13.26,30.49,
108,만도,"63,400",400,+0.63%,"1,000","29,771","46,957",23.58,"439,448",515.45,0.37,
109,현대오토에버,"107,500","2,000",+1.90%,500,"29,481","27,424",1.21,"57,753",38.27,11.09,
110,CJ,"99,800","1,200",-1.19%,"5,000","29,119","29,177",18.57,"161,440",41.07,1.89,
111,OCI,"121,000",500,-0.41%,"5,000","28,858","23,849",20.37,"208,586",-11.72,-9.89,
112,BGF리테일,"166,000","5,000",+3.11%,"1,000","28,691","17,284",31.85,"77,149",23.38,18.60,
113,KCC,"317,500","4,500",-1.40%,"5,000","28,215","8,886",12.13,"30,210",4.73,12.79,
114,한솔케미칼,"247,000","2,500",-1.00%,"5,000","27,998","11,335",40.59,"24,295",22.74,24.50,
115,GS리테일,"36,250","1,100",+3.13%,"1,000","27,912","77,000",14.03,"614,834",18.63,7.50,
116,F&F,"180,000",0,0.00%,500,"27,720","15,400",9.86,0,32.31,16.59,
117,현대차우,"113,000","3,000",+2.73%,"5,000","27,523","24,357",58.57,"87,224",21.97,N/A,
118,포스코인터내셔널,"22,300",250,-1.11%,"5,000","27,513","123,375",12.58,"857,465",11.53,7.69,
119,DL이앤씨,"141,000","4,500",+3.30%,"5,000","27,296","19,359",26.21,"352,637",N/A,N/A,
120,제일기획,"23,250",350,+1.53%,200,"26,747","115,041",32.98,"560,948",17.00,16.11,
121,한샘,"112,500","2,000",+1.81%,"1,000","26,476","23,534",23.78,"50,987",40.69,10.83,
122,두산퓨얼셀,"39,600",500,+1.28%,100,"25,936","65,494",14.05,"1,039,081",205.18,4.18,
123,메리츠금융지주,"19,200",50,+0.26%,500,"25,730","134,011",7.86,"159,134",5.35,16.06,
124,BNK금융지주,"7,880",20,-0.25%,"5,000","25,684","325,935",39.43,"2,282,813",4.95,6.11,
125,더존비즈온,"83,900","1,600",-1.87%,500,"25,456","30,341",39.44,"161,852",46.46,15.09,
126,메리츠화재,"20,850",450,+2.21%,500,"25,150","120,625",11.34,"328,656",5.54,16.91,
127,DB하이텍,"55,700",300,+0.54%,"5,000","24,730","44,399",17.29,"439,291",14.93,23.07,
128,하이트진로,"35,100",650,+1.89%,"5,000","24,617","70,134",7.23,"344,255",28.87,8.23,
129,두산인프라코어,"10,700",250,+2.39%,"5,000","23,844","222,846",10.13,"2,176,601",15.13,6.47,
130,한화,"31,500",300,-0.94%,"5,000","23,612","74,959",20.26,"376,533",14.42,4.79,
131,동국제강,"24,400","1,000",+4.27%,"5,000","23,286","95,433",25.78,"4,171,368",35.78,3.35,
132,효성,"110,500",0,0.00%,"5,000","23,283","21,071",9.44,"90,554",-44.13,-2.26,
133,LS,"72,300",400,-0.55%,"5,000","23,281","32,200",14.61,"210,092",18.35,3.94,
134,KODEX 단기채권,"102,840",5,0.00%,0,"23,171","22,531",0.00,"16,982",N/A,N/A,
135,현대해상,"24,900",650,+2.68%,500,"22,261","89,400",37.64,"923,687",6.71,7.13,
136,TIGER 200,"42,945",290,+0.68%,0,"22,052","51,350",0.00,"421,790",N/A,N/A,
137,현대로템,"20,050",550,+2.82%,"5,000","21,883","109,142",5.17,"1,339,724",61.69,2.84,
138,현대백화점,"92,800",600,+0.65%,"5,000","21,717","23,402",19.47,"367,883",30.88,1.65,
139,KODEX 200선물인버스2X,"1,960",30,-1.51%,0,"21,627","1,103,400",2.24,"182,882,030",N/A,N/A,
140,아이에스동서,"67,800","3,600",+5.61%,500,"20,945","30,893",5.65,"130,517",16.86,10.92,
141,한화에어로스페이스,"40,250","1,100",+2.81%,"5,000","20,379","50,630",18.21,"553,569",16.86,4.78,
142,KG동부제철,"20,350",150,+0.74%,"5,000","20,352","100,009",0.27,"593,672",30.46,7.18,
143,현대엘리베이,"49,450","2,450",+5.21%,"5,000","20,183","40,815",28.92,"1,586,836",20.88,9.78,
144,대한유화,"308,000","1,500",+0.49%,"5,000","20,020","6,500",20.95,"54,734",15.73,6.93,
145,대웅,"34,200","1,250",+3.79%,500,"19,885","58,142",4.10,"901,196",20.21,15.10,
146,오뚜기,"540,000","7,000",+1.31%,"5,000","19,829","3,672",15.73,"15,641",18.44,7.93,
147,KODEX 삼성그룹,"9,970",65,+0.66%,0,"19,790","198,500",0.02,"761,337",N/A,N/A,
148,한화시스템,"17,900",100,-0.56%,"5,000","19,731","110,230",2.67,"704,247",23.61,9.35,
149,현대위아,"71,400","1,200",+1.71%,"5,000","19,417","27,195",8.26,"164,901",31.85,1.96,
150,HDC현대산업개발,"29,400","1,350",+4.81%,"5,000","19,377","65,907",10.20,"1,668,187",8.18,8.85,
151,영원무역,"42,600",750,+1.79%,500,"18,877","44,311",26.51,"163,959",12.79,8.03,
152,프레스티지바이오파마,"30,200",450,+1.51%,0,"18,149","60,096",63.69,"345,307",N/A,N/A,
153,한국앤컴퍼니,"18,850",350,+1.89%,500,"17,895","94,935",9.42,"323,515",10.35,5.08,
154,농심,"291,000","11,000",+3.93%,"5,000","17,700","6,083",15.49,"68,405",11.92,7.50,
155,녹십자홀딩스,"37,600",750,+2.04%,500,"17,683","47,028",5.58,"338,318",10.90,19.74,
156,효성첨단소재,"393,000","4,500",-1.13%,"5,000","17,606","4,480",9.73,"63,013","21,833.30",0.03,
157,코오롱인더,"64,800","1,000",+1.57%,"5,000","17,482","26,979",18.65,"254,148",9.48,9.70,
158,KODEX 레버리지,"28,085",385,+1.39%,0,"17,300","61,600",2.55,"15,495,270",N/A,N/A,
159,KODEX 단기채권PLUS,"103,140",10,+0.01%,0,"17,232","16,707",0.00,"277,884",N/A,N/A,
160,LS ELECTRIC,"57,100",200,+0.35%,"5,000","17,130","30,000",15.13,"75,980",20.11,6.15,
161,롯데정밀화학,"65,900",0,0.00%,"5,000","17,002","25,800",22.87,"136,284",8.55,12.65,
162,대웅제약,"143,500","7,500",+5.51%,"2,500","16,627","11,587",4.87,"335,356",130.34,2.38,
163,한미반도체,"32,700",150,+0.46%,200,"16,173","49,460",5.84,"781,957",33.89,21.03,
164,DL,"101,500","1,600",+1.60%,"5,000","15,673","15,441",22.76,"246,942",7.76,11.84,
165,KODEX 2차전지산업,"19,285",15,-0.08%,0,"15,659","81,200",0.02,"633,835",N/A,N/A,
166,LG생활건강우,"740,000","13,000",+1.79%,"5,000","15,538","2,100",83.88,"8,145",16.44,N/A,
167,한전KPS,"34,500",200,+0.58%,200,"15,525","45,000",9.96,"208,960",17.83,8.23,
168,DGB금융지주,"9,150",140,+1.55%,"5,000","15,477","169,146",48.55,"1,467,126",4.66,6.93,
169,KODEX 200TR,"14,045",95,+0.68%,0,"15,274","108,750",0.00,"42,194",N/A,N/A,
170,종근당,"132,500","3,000",+2.32%,"2,500","15,140","11,426",8.48,"57,327",16.52,17.88,
171,솔루스첨단소재,"49,350",100,-0.20%,100,"15,096","30,590",4.95,"134,384",-176.88,-5.10,
172,JB금융지주,"7,550",50,+0.67%,"5,000","14,872","196,983",40.70,"460,219",4.09,10.06,
173,부광약품,"20,850",350,+1.71%,500,"14,817","71,063",5.28,"418,517",-206.44,-2.46,
174,KODEX MSCI Korea TR,"13,860",50,+0.36%,0,"14,761","106,500",0.00,"321,160",N/A,N/A,
175,신세계인터내셔날,"206,000","2,500",+1.23%,"5,000","14,708","7,140",3.92,"28,896",28.89,8.24,
176,NHN,"71,800",200,-0.28%,500,"14,048","19,565",10.73,"50,093",65.51,1.35,
177,LG상사,"35,500",800,+2.31%,"5,000","13,760","38,760",27.89,"717,153",4.62,23.72,
178,효성화학,"426,000","7,500",-1.73%,"5,000","13,590","3,190",9.36,"55,877",-117.00,-2.71,
179,KODEX 종합채권(AA-이상)액티브,"108,590",105,-0.10%,0,"13,528","12,458",0.00,"22,802",N/A,N/A,
180,SK네트웍스,"5,420",30,+0.56%,"2,500","13,452","248,188",11.94,"640,794",38.99,1.63,
181,롯데리츠,"5,530",0,0.00%,500,"13,436","242,969",9.65,"518,562",63.56,1.83,
182,지누스,"84,400","1,100",+1.32%,500,"13,336","15,800",22.89,"42,824",28.98,11.61,
183,한전기술,"34,750","1,700",+5.14%,200,"13,281","38,220",2.88,"510,074",65.94,N/A,
184,롯데칠성,"147,000","3,500",-2.33%,500,"13,193","8,975",10.07,"39,874",-105.23,-1.00,
185,TIGER 단기통안채,"100,195",5,0.00%,0,"13,113","13,087",0.90,"1,460",N/A,N/A,
186,현대건설기계,"66,100","3,300",+5.25%,"5,000","13,022","19,701",20.44,"576,750",-134.90,-0.80,
187,한국콜마,"56,600",600,+1.07%,500,"12,951","22,881",28.76,"127,330",8.08,29.27,
188,영풍,"700,000","2,000",-0.28%,"5,000","12,894","1,842",5.01,"1,635",9.72,4.03,
189,LG전자우,"73,000",800,+1.11%,"5,000","12,546","17,186",40.03,"74,283",6.71,N/A,
190,화승엔터프라이즈,"20,700","1,950",+10.40%,500,"12,533","60,545",3.39,"1,585,868",31.27,9.26,
191,솔루엠,"24,800",300,+1.22%,500,"12,236","49,339",0.35,"300,422",25.25,43.26,
192,롯데관광개발,"17,550",350,+2.03%,500,"12,158","69,276",3.58,"496,412",-14.84,-30.43,
193,태광산업,"1,090,000","20,000",-1.80%,"5,000","12,136","1,113",7.52,945,11.47,3.26,
194,코스맥스,"120,000",500,+0.42%,500,"12,059","10,050",21.51,"86,391",56.42,6.23,
195,한올바이오파마,"23,000",350,+1.55%,500,"12,015","52,241",6.34,"183,550",60.85,12.29,
196,다우기술,"26,650",500,+1.91%,500,"11,957","44,867",22.34,"100,927",4.34,18.85,
197,에스엘,"24,750",800,+3.34%,500,"11,930","48,203",14.37,"245,318",18.17,4.74,
198,KBSTAR 200,"42,965",285,+0.67%,0,"11,901","27,700",0.00,"260,012",N/A,N/A,
199,이노션,"59,300","1,300",+2.24%,500,"11,860","20,000",30.03,"55,504",18.68,8.28,
200,금호타이어,"4,125",80,+1.98%,"5,000","11,849","287,260",5.39,"753,323",-14.27,-6.74,
